iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false	F1:use_weights=true	F1:use_weights=false
0	0.6848524087	0.7020975624	0.6536	0.7195751871	0.3286821705
1	0.6755596626	0.7007024078	0.6904	0.704613302	0.3384615385
2	0.6673853992	0.7114101216	0.7225333333	0.7072249835	0.357914224
3	0.6607259794	0.7106667608	0.7156	0.7088207352	0.3546142209
4	0.6513155439	0.7148951223	0.6978666667	0.7210006704	0.3510882016
5	0.6468126113	0.7114328338	0.7029333333	0.714550781	0.3504373178
6	0.639280213	0.7112067973	0.7034666667	0.7140511483	0.3504672897
7	0.6335099993	0.7166861101	0.7085333333	0.7196237147	0.3563015312
8	0.6267133054	0.7230490199	0.7292	0.7208423411	0.3694504812
9	0.6216566248	0.717058872	0.7110666667	0.7192210821	0.357545212
10	0.6174333127	0.7168349986	0.7097333333	0.7193959464	0.3568685377
11	0.6122140521	0.7173609751	0.7097333333	0.7201046492	0.3572483023
12	0.6069875495	0.7241802841	0.7256	0.7236761307	0.3687116564
13	0.6025587761	0.7233630198	0.7176	0.7253967928	0.3647270546
14	0.5984787899	0.7221665044	0.7126666667	0.7255175262	0.3618596387
15	0.5933627121	0.7238933225	0.7138666667	0.7274058446	0.3635824437
16	0.5892451154	0.7213395063	0.7130666667	0.7242709639	0.3614243323
17	0.5867102792	0.7283077038	0.7301333333	0.7276687733	0.3737623762
18	0.5833040956	0.7280827488	0.7297333333	0.7275047326	0.3734157651
19	0.5801630918	0.7287597769	0.7290666667	0.7286527632	0.3736128237
20	0.5776090614	0.7283109484	0.7273333333	0.7286518628	0.372506904
21	0.5733453711	0.7283098669	0.7282666667	0.7283249533	0.3729230769
22	0.570598552	0.7278588753	0.7284	0.7276694966	0.3726516785
23	0.5665020334	0.7280859934	0.7269333333	0.7284881914	0.3721643164
24	0.5634613681	0.7300377665	0.7285333333	0.7305587045	0.3743085433
25	0.5608425378	0.7306387281	0.7286666667	0.7313196614	0.3748079877
26	0.5574323239	0.7322155762	0.7296	0.7331126806	0.3763837638
27	0.5543292803	0.7406996967	0.7353333333	0.7424757055	0.385258594
28	0.5507883089	0.7524734235	0.7553333333	0.751560325	0.4044141512
29	0.5491012111	0.7491697573	0.7532	0.7478638537	0.4007769505
30	0.5451060457	0.7521734835	0.7548	0.7513341385	0.4038897893
31	0.5424603303	0.7563030663	0.7574666667	0.7559381059	0.4084552846
32	0.5393192417	0.7576538778	0.7589333333	0.7572547443	0.4103065884
33	0.5361135036	0.7572789528	0.7582666667	0.7569704697	0.4096385542
34	0.533661732	0.7617856237	0.7597333333	0.7624122536	0.4137931034
35	0.5311558578	0.7635895899	0.7592	0.7649157456	0.4147764096
36	0.5291515642	0.7652425045	0.7593333333	0.7670118279	0.4160465869
37	0.5270914197	0.7672703442	0.7601333333	0.7693855349	0.4179877062
38	0.5254158876	0.7687722073	0.7609333333	0.771078355	0.4195532535
39	0.5238296973	0.7692210358	0.7626666667	0.7711486982	0.4209499024
40	0.5214148339	0.7708011285	0.7608	0.7737095786	0.4209167205
41	0.5199754094	0.77110215	0.7604	0.7742076157	0.4208830164
42	0.5181788375	0.7701251819	0.7605333333	0.7729242887	0.4202711427
43	0.5168389917	0.7705011885	0.7602666667	0.7734805248	0.4203739523
44	0.5142956973	0.7750046147	0.7645333333	0.7779921605	0.4262508122
45	0.5119995211	0.7756066578	0.7637333333	0.7789791576	0.4261658031
46	0.5097788666	0.7751567478	0.7629333333	0.7786341074	0.4253393665
47	0.5078937291	0.7736548847	0.7621333333	0.7769574024	0.4237726098
48	0.5061640986	0.7758337759	0.7622666667	0.7796752415	0.4253947792
49	0.505008875	0.7743319128	0.7614666667	0.7780023086	0.4238325282
50	0.5039136134	0.7750089409	0.7608	0.7790436707	0.4238921002
51	0.5029289324	0.7749339559	0.7606666667	0.7789863059	0.4237560193
52	0.5010925269	0.7761347974	0.7618666667	0.7801657596	0.4253539254
53	0.4991438054	0.7758370205	0.7594666667	0.7804557903	0.4236421725
54	0.4982093704	0.777112847	0.7608	0.7816895276	0.4253683536
55	0.4976311651	0.7783897551	0.7612	0.7831795421	0.4265129683
56	0.4968007938	0.7780898151	0.7606666667	0.7829497798	0.4259673809
57	0.4961180239	0.7789157317	0.7612	0.7838371069	0.42688
58	0.494509305	0.7795916782	0.7614666667	0.7846087757	0.42752
59	0.4932090555	0.7798926998	0.7610666667	0.7850921488	0.4274760383
60	0.492340048	0.7801187363	0.7605333333	0.7855172123	0.4272959184
61	0.4915947866	0.7798937813	0.7601333333	0.7853448826	0.4268875438
62	0.4908859416	0.7795188563	0.7594666667	0.7850578342	0.4262086514
63	0.4893162038	0.7797438113	0.7598666667	0.785230038	0.4266157275
64	0.4876442058	0.782296546	0.7616	0.7879369357	0.4294830887
65	0.4862217273	0.782146576	0.7613333333	0.7878218471	0.4292091837
66	0.4854040459	0.7816205994	0.7613333333	0.7871694584	0.4288449266
67	0.4841803074	0.781846636	0.7608	0.7875917708	0.4286624204
68	0.4834754811	0.781621681	0.7604	0.7874193018	0.4282532612
69	0.4821252781	0.7817727325	0.7597333333	0.7877834348	0.4279365079
70	0.4812560604	0.7824486791	0.76	0.7885489186	0.4285714286
71	0.4801289375	0.781473874	0.7582666667	0.7878024985	0.4268099905
72	0.4792547523	0.7822997906	0.7588	0.7886816521	0.4277127491
73	0.4784560092	0.7832006922	0.7594666667	0.7896176169	0.4287523749
74	0.4775942556	0.7832006922	0.7594666667	0.7896176169	0.4287523749
75	0.476672065	0.7825247456	0.7592	0.7888539066	0.4281190627
76	0.4754211039	0.7834256472	0.7598666667	0.7897900255	0.4291600634
77	0.4744949671	0.7841765787	0.7602666667	0.7906105475	0.4299302473
78	0.473308718	0.7857534268	0.7612	0.7923070291	0.431609013
79	0.4722787121	0.7851513837	0.762	0.7913589712	0.4317096466
80	0.4717544304	0.7850014137	0.7617333333	0.7912437369	0.4314349348
81	0.4712988973	0.7855273903	0.7617333333	0.7918910284	0.4317965024
82	0.4703476343	0.7857523453	0.7621333333	0.7920639204	0.4322087842
83	0.4693392089	0.7856023753	0.7618666667	0.7919486507	0.4319338422
84	0.468566053	0.7852274503	0.7612	0.7916606231	0.4312480152
85	0.4677992348	0.7851524653	0.7610666667	0.7916030427	0.4311111111
86	0.4673068576	0.7862794034	0.7612	0.7929525884	0.4319695528
87	0.4665775175	0.7867293134	0.762	0.7932983571	0.4327931363
88	0.4654772801	0.7861283518	0.7618666667	0.7925951028	0.4322949777
89	0.4650685047	0.7873302749	0.7621333333	0.7940007926	0.4332909784
90	0.4643250723	0.7870303349	0.7616	0.7937701768	0.4327411168
91	0.4638955401	0.787857333	0.7612	0.7948842036	0.433048433
92	0.4634653424	0.7889092861	0.7612	0.7961677445	0.4337654126
93	0.4626139685	0.7889092861	0.7612	0.7961677445	0.4337654126
94	0.4617229221	0.7883083246	0.7610666667	0.7954687584	0.4332700822
95	0.4611489146	0.7901861942	0.7616	0.7976209719	0.4348925411
96	0.4606713609	0.7890592561	0.7614666667	0.7962830568	0.4340398608
97	0.4597796517	0.7886082646	0.7616	0.7956993478	0.4338188727
98	0.4591987918	0.7885332796	0.7614666667	0.7956416879	0.4336815448
99	0.4587043055	0.7901112092	0.7614666667	0.7975632858	0.4347551343
100	0.4578239229	0.7916880573	0.7624	0.799244278	0.4364326376
101	0.4574010423	0.7920640639	0.7621333333	0.7997660232	0.4365129501
102	0.4571222203	0.7912381473	0.7616	0.7988978838	0.4356060606
103	0.456504898	0.7914631023	0.762	0.7990710434	0.4360189573
104	0.4562282624	0.7921390489	0.7622666667	0.7998237765	0.4366508689
105	0.4555620146	0.7928899804	0.7626666667	0.8006335342	0.4374209861
106	0.4544759948	0.7931160169	0.7621333333	0.8010380244	0.4372239748
107	0.4537642559	0.793265987	0.7624	0.8011535726	0.4375
108	0.4532342918	0.793490942	0.7628	0.8013269575	0.4379146919
109	0.4528103155	0.793790882	0.7633333333	0.8015582542	0.438468839
110	0.45222847	0.793715897	0.7632	0.8015004175	0.4383301708
