iter	Passed	Remaining
0	6	1898
1	16	2409
2	22	2220
3	29	2193
4	45	2692
5	52	2574
6	58	2466
7	66	2410
8	81	2622
9	88	2553
10	94	2488
11	101	2425
12	110	2439
13	123	2533
14	131	2492
15	137	2438
16	144	2406
17	154	2419
18	165	2454
19	174	2440
20	180	2402
21	187	2364
22	194	2338
23	200	2307
24	208	2288
25	214	2265
26	227	2298
27	234	2276
28	242	2262
29	248	2237
30	255	2216
31	262	2200
32	272	2206
33	279	2184
34	287	2178
35	293	2155
36	300	2134
37	309	2135
38	316	2115
39	325	2117
40	332	2099
41	340	2089
42	346	2071
43	353	2057
44	360	2041
45	367	2027
46	373	2009
47	382	2007
48	388	1991
49	395	1975
50	404	1973
51	410	1958
52	417	1946
53	423	1931
54	430	1916
55	440	1920
56	452	1928
57	458	1912
58	465	1902
59	471	1887
60	478	1874
61	484	1861
62	491	1847
63	498	1838
64	504	1825
65	512	1816
66	518	1803
67	525	1791
68	532	1781
69	539	1774
70	550	1775
71	557	1763
72	564	1755
73	570	1743
74	579	1738
75	585	1726
76	592	1715
77	599	1707
78	606	1697
79	615	1692
80	621	1680
81	630	1675
82	636	1664
83	643	1654
84	652	1649
85	660	1644
86	667	1633
87	676	1629
88	682	1618
89	692	1615
90	699	1606
91	706	1596
92	712	1586
93	718	1575
94	728	1573
95	735	1562
96	749	1568
97	759	1564
98	764	1552
99	772	1545
100	779	1535
101	786	1527
102	794	1518
103	800	1508
104	809	1503
105	818	1497
106	826	1489
107	832	1479
108	841	1475
109	848	1465
110	858	1461
111	865	1452
112	874	1447
113	887	1447
114	899	1446
115	907	1439
116	915	1432
117	924	1425
118	937	1425
119	944	1416
120	955	1413
121	965	1408
122	973	1401
123	985	1398
124	998	1397
125	1005	1388
126	1012	1379
127	1018	1369
128	1034	1371
129	1044	1365
130	1053	1358
131	1068	1359
132	1074	1349
133	1085	1345
134	1094	1337
135	1101	1328
136	1109	1319
137	1115	1309
138	1121	1299
139	1129	1291
140	1136	1281
141	1144	1273
142	1151	1264
143	1159	1255
144	1165	1246
145	1172	1236
146	1180	1228
147	1190	1222
148	1199	1215
149	1208	1208
150	1214	1198
151	1223	1190
152	1238	1189
153	1254	1189
154	1261	1180
155	1271	1173
156	1288	1174
157	1359	1222
158	1365	1211
159	1373	1202
160	1380	1192
161	1402	1195
162	1410	1185
163	1420	1177
164	1426	1167
165	1436	1159
166	1442	1149
167	1451	1140
168	1472	1141
169	1478	1130
170	1486	1121
171	1492	1110
172	1500	1101
173	1508	1092
174	1519	1085
175	1526	1075
176	1534	1066
177	1540	1056
178	1549	1047
179	1556	1037
180	1575	1035
181	1586	1028
182	1592	1017
183	1608	1013
184	1618	1006
185	1632	1000
186	1638	990
187	1646	980
188	1652	970
189	1683	974
190	1692	965
191	1700	956
192	1707	946
193	1715	937
194	1731	932
195	1737	922
196	1747	913
197	1751	902
198	1760	893
199	1766	883
200	1834	903
201	1843	894
202	1852	885
203	1864	877
204	1875	869
205	1901	867
206	1918	861
207	1927	852
208	1933	841
209	1949	835
210	1962	827
211	1968	817
212	1978	808
213	1991	800
214	1997	789
215	2006	780
216	2013	770
217	2027	762
218	2039	754
219	2045	743
220	2055	734
221	2063	724
222	2070	714
223	2086	708
224	2093	697
225	2102	688
226	2110	678
227	2117	668
228	2130	660
229	2138	650
230	2145	640
231	2152	631
232	2159	620
233	2168	611
234	2181	603
235	2188	593
236	2201	585
237	2236	582
238	2247	573
239	2253	563
240	2263	554
241	2269	543
242	2275	533
243	2285	524
244	2293	514
245	2300	504
246	2318	497
247	2323	487
248	2385	488
249	2392	478
250	2402	468
251	2411	459
252	2447	454
253	2452	444
254	2461	434
255	2468	424
256	2476	414
257	2493	405
258	2500	395
259	2510	386
260	2517	376
261	2526	366
262	2566	361
263	2573	350
264	2579	340
265	2586	330
266	2595	320
267	2664	318
268	2671	307
269	2677	297
270	2687	287
271	2693	277
272	2743	271
273	2749	260
274	2757	250
275	2769	240
276	2775	230
277	2793	221
278	2803	210
279	2808	200
280	2817	190
281	2824	180
282	2876	172
283	2919	164
284	2925	153
285	2932	143
