iter	RMSE
0	55193.71478
1	55134.59007
2	54706.99623
3	53363.7843
4	52956.80065
5	52930.89296
6	52871.77067
7	50434.89553
8	50410.94539
9	50372.21375
10	50155.3195
11	49979.39511
12	49577.04769
13	49116.28367
14	48855.6181
15	48662.89573
16	48450.48286
17	48341.43143
18	48130.75489
19	47876.51872
20	47739.3969
21	47561.64731
22	47407.44185
23	47331.28309
24	47197.18257
25	47127.52752
26	47051.18188
27	46847.21989
28	46762.77765
29	46662.59124
30	46604.45176
31	46562.43208
32	46406.82007
33	46335.69352
34	46255.0818
35	46006.05142
36	45885.9174
37	45849.58481
38	45816.08607
39	45779.70378
40	45737.01388
41	45687.30703
42	45626.59556
43	45488.04804
44	45405.84899
45	45298.14912
46	45150.22709
47	45007.4739
48	44915.66347
49	44865.39696
