iter	SMAPE	RMSE
0	55.75204844	123.6909041
1	54.32464077	120.1922518
2	52.95342344	116.8443004
3	51.61914018	113.6019144
4	50.34605096	110.5219037
5	49.0938253	107.4942374
6	47.89012275	104.5764253
7	46.7479682	101.8519675
8	45.65211577	99.26500555
9	44.56743148	96.70785847
10	43.52176141	94.26679436
11	42.52418749	91.95649989
12	41.57039088	89.74261934
13	40.63871109	87.59200675
14	39.73450969	85.55180897
15	38.88187467	83.64173367
16	38.04295882	81.78237601
17	37.24264684	80.01325311
18	36.4679254	78.32544713
19	35.7282621	76.72138698
20	35.02492843	75.19803443
21	34.33886428	73.70809672
22	33.68284106	72.31800223
23	33.04573304	70.92175923
24	32.44978002	69.66610559
25	31.86680866	68.42883191
26	31.28804351	67.22956583
27	30.73604792	66.10870885
28	30.2068355	65.02965744
29	29.70615509	64.02240318
30	29.21815405	63.05076729
31	28.75886094	62.13910415
32	28.30432022	61.22640124
33	27.87711034	60.36588798
34	27.46927827	59.58388755
35	27.07131705	58.81044746
36	26.69387066	58.09511923
37	26.29871808	57.31530398
38	25.93704899	56.63556304
39	25.60552634	56.0293164
40	25.26892968	55.42540228
41	24.94945719	54.83884139
42	24.63907541	54.28754696
43	24.35821638	53.79481188
44	24.06359092	53.29267162
45	23.78483651	52.81330191
46	23.53703953	52.38672023
47	23.27703201	51.8823454
48	23.02664107	51.45014787
49	22.80371516	51.08262204
50	22.57479246	50.70152452
51	22.35762191	50.33812142
52	22.15288445	49.9935734
53	21.94960173	49.66801659
54	21.75866958	49.36091471
55	21.56899784	49.07289713
56	21.40311924	48.80731512
57	21.23594182	48.5448898
58	21.0689296	48.29867641
59	20.91189361	48.06725788
60	20.76783738	47.84232683
61	20.63367646	47.6429725
62	20.46808342	47.33658188
63	20.33161305	47.14102747
64	20.20451766	46.95921067
65	20.08749539	46.79066136
66	19.95817242	46.61541601
67	19.84348311	46.46137303
68	19.70335893	46.1864008
69	19.592068	46.04501177
70	19.46512468	45.79940121
71	19.36682672	45.66122353
72	19.26956889	45.53672401
73	19.17941699	45.41297682
74	19.06853785	45.19173041
75	18.98807509	45.07283694
76	18.87628455	44.87261048
77	18.77043985	44.67132536
78	18.68726772	44.56490932
79	18.61770991	44.47234127
80	18.53642548	44.37246833
81	18.46284023	44.27654277
82	18.35900835	44.08388947
83	18.29493244	43.99879741
84	18.23265632	43.92021296
85	18.17308717	43.84476698
86	18.09463688	43.6842367
87	18.04203315	43.61399655
88	17.99706767	43.54820872
89	17.91007432	43.38966945
90	17.8492554	43.32099793
91	17.80093347	43.25630462
92	17.73296375	43.11713047
93	17.67708657	43.0531421
94	17.6127934	42.92550292
95	17.5641245	42.86647335
96	17.51033858	42.80918737
97	17.43661881	42.68209927
98	17.368544	42.55705902
99	17.32056522	42.50464478
100	17.28215894	42.45813609
101	17.22667897	42.34378229
102	17.18901987	42.29730607
