iter	Passed	Remaining
0	35	177993
1	69	173320
2	88	146632
3	110	138019
4	139	139078
5	160	133195
6	180	128776
7	201	125429
8	220	122439
9	246	123224
10	264	120059
11	285	118540
12	306	117583
13	346	123511
14	377	125555
15	401	125148
16	421	123579
17	449	124465
18	471	123512
19	493	122872
20	520	123386
21	546	123715
22	571	123730
23	594	123347
24	614	122265
25	648	124121
26	676	124588
27	722	128240
28	775	133010
29	818	135611
30	876	140482
31	944	146583
32	976	146935
33	1049	153285
34	1102	156375
35	1124	155008
36	1154	154836
37	1182	154427
38	1205	153371
39	1228	152293
40	1258	152242
41	1295	152881
42	1321	152340
43	1371	154532
44	1402	154388
45	1431	154181
46	1470	154951
47	1511	155986
48	1544	156043
49	1595	157918
50	1622	157485
51	1643	156340
52	1672	156089
53	1700	155733
54	1724	155083
55	1764	155750
56	1811	157109
57	1848	157486
58	1884	157786
59	1915	157681
60	1939	157037
61	1964	156435
62	2006	157264
63	2044	157698
64	2083	158192
65	2117	158279
66	2144	157902
67	2202	159734
68	2228	159267
69	2270	159886
70	2294	159319
71	2315	158516
72	2343	158202
73	2370	157776
74	2399	157595
75	2430	157493
76	2465	157646
77	2531	159745
78	2572	160269
79	2608	160407
80	2641	160433
81	2659	159527
82	2683	158986
83	2710	158617
84	2735	158196
85	2755	157462
86	2774	156699
87	2809	156832
88	2841	156797
89	2872	156685
90	2904	156672
91	2948	157303
92	3022	159464
93	3074	160464
94	3115	160869
95	3213	164148
96	3262	164902
97	3309	165531
98	3361	166409
99	3411	167155
100	3476	168631
101	3523	169199
102	3568	169681
103	3609	169929
104	3663	170805
105	3710	171320
106	3768	172312
107	3833	173621
108	3874	173854
109	3919	174218
110	3977	175172
111	4013	175148
112	4058	175533
113	4095	175542
114	4162	176815
115	4211	177314
116	4255	177624
117	4292	177575
118	4337	177917
119	4380	178142
120	4418	178155
121	4477	179019
122	4512	178914
123	4560	179326
124	4598	179349
125	4642	179575
126	4687	179876
127	4728	179965
128	4779	180461
129	4817	180477
130	4874	181160
131	4915	181259
132	4959	181497
133	4991	181259
134	5040	181650
135	5069	181323
136	5099	181018
137	5143	181228
138	5186	181387
139	5217	181117
140	5248	180868
141	5291	181028
142	5338	181306
143	5380	181447
144	5412	181220
145	5443	180988
146	5480	180944
147	5498	180245
148	5517	179628
149	5534	178955
150	5555	178414
151	5584	178114
152	5609	177708
153	5627	177094
154	5650	176632
155	5674	176197
156	5697	175743
157	5717	175229
158	5741	174800
159	5764	174379
160	5789	173994
161	5811	173560
162	5831	173063
163	5851	172556
164	5893	172699
165	5912	172189
166	5937	171835
167	5957	171351
168	5986	171142
169	6006	170662
170	6025	170156
171	6046	169711
172	6074	169490
173	6094	169032
174	6114	168577
175	6135	168170
176	6154	167708
177	6177	167344
178	6202	167064
179	6223	166640
180	6252	166460
181	6274	166099
182	6300	165857
183	6332	165751
184	6350	165293
185	6378	165076
186	6398	164687
187	6420	164325
188	6438	163898
189	6459	163523
190	6486	163329
191	6506	162942
192	6526	162563
