iter	F1	Logloss
0	0.8022072527	0.6728675065
1	0.7780181281	0.6550151859
2	0.7824758029	0.6419422983
3	0.7797000611	0.6259581977
4	0.7808079913	0.6132564638
5	0.7949115307	0.5996282058
6	0.774708061	0.5934529838
7	0.7921200564	0.5817878918
8	0.7980434715	0.5696101737
9	0.7932063353	0.5641687435
10	0.8011309232	0.5536215663
11	0.799592699	0.544302705
12	0.8000409864	0.5370212227
13	0.8011309232	0.5306237754
14	0.8033197304	0.5230419727
15	0.7986827288	0.5163792518
16	0.7971147274	0.5111808191
17	0.8099585068	0.5024918974
18	0.8099585068	0.4965260846
19	0.8099585068	0.4924368895
20	0.8073191024	0.4888122538
21	0.8046679639	0.4849444526
22	0.8046679639	0.4800648311
23	0.8110756523	0.4741748859
24	0.8099585068	0.471667594
25	0.8088444346	0.4680636308
26	0.8088444346	0.4636864833
27	0.8077334229	0.4601395056
28	0.8077334229	0.4570125071
29	0.8114710331	0.4519587754
30	0.8114710331	0.4495445365
31	0.8114710331	0.4460402726
32	0.8140860733	0.4407627958
33	0.8218626023	0.4355871199
34	0.8218626023	0.4335476441
35	0.8218626023	0.4303886153
36	0.8255528262	0.4270216271
37	0.8244321641	0.4264969079
38	0.8233145405	0.4243163813
39	0.8255528262	0.4211939723
40	0.8229822168	0.4204319404
41	0.8229822168	0.420039878
42	0.8263594381	0.4179829736
43	0.8255528262	0.415536425
44	0.8354542267	0.4131646498
45	0.8404995888	0.4108334441
46	0.8430059111	0.4077125881
47	0.8379823843	0.4070976342
48	0.8379823843	0.4067083515
49	0.8379823843	0.4061418826
50	0.8368516444	0.4058618534
51	0.8368516444	0.4052026159
52	0.8379823843	0.4022533766
53	0.8391161841	0.4018881116
54	0.8391161841	0.4005226368
55	0.8430059111	0.398900356
56	0.8430059111	0.3979261552
57	0.8443679083	0.3963363604
58	0.8493250156	0.3951362261
59	0.8493250156	0.3933345376
60	0.8468517892	0.3910952685
61	0.8468517892	0.3906834365
62	0.8468517892	0.3891752127
63	0.8468517892	0.3880557951
64	0.8468517892	0.3871346028
65	0.8468517892	0.3858085594
66	0.8468517892	0.3855333331
67	0.8468517892	0.3852628019
68	0.8468517892	0.3844652332
69	0.8468517892	0.384166487
70	0.8468517892	0.3820950805
71	0.8468517892	0.3819728858
72	0.8468517892	0.3809571862
73	0.8468517892	0.3807749635
74	0.8468517892	0.3783442226
75	0.8479861903	0.3779439833
76	0.8491236347	0.3767441674
77	0.8491236347	0.3763467693
78	0.8491236347	0.3761902538
79	0.8491236347	0.3760143922
