iter	Passed	Remaining
0	2	811
1	4	660
2	5	556
3	7	577
4	10	632
5	13	653
6	14	593
7	16	600
8	18	606
9	19	572
10	22	578
11	24	587
12	27	606
13	29	595
14	30	586
15	33	589
16	35	591
17	37	593
18	41	616
19	43	615
20	45	598
21	47	603
22	52	628
23	54	627
24	57	628
25	59	628
26	61	626
27	72	702
28	74	699
29	78	704
30	79	692
31	83	699
32	87	707
33	89	702
34	92	699
35	94	695
36	97	690
37	100	690
38	102	686
39	105	682
40	106	669
41	106	656
42	111	669
43	117	681
44	119	676
45	121	672
46	128	690
47	129	681
48	135	691
49	137	686
50	138	674
51	139	663
52	140	655
53	141	644
54	143	639
55	146	639
56	149	637
57	151	630
58	152	624
59	154	617
60	155	611
61	159	610
62	161	609
63	163	603
64	165	597
65	166	591
66	168	585
67	169	577
68	170	571
69	175	575
70	176	570
71	177	562
72	179	557
73	180	550
74	181	545
75	183	540
76	185	535
77	186	530
78	188	526
79	189	522
